TransactionID,TotalAmount
1,1353570.4000000001
2,738603.9900000001
3,21343268.700000003
4,14548292.700000001
5,22699751.970000003
6,12896832.48
7,2589377.6
8,9114416.46
9,25349664.96
10,8009678.970000001
11,2823351.6
12,10535197.590000002
13,916595.8200000001
14,19210950.930000003
15,16619615.97
16,4367588.04
17,21455318.76
18,7679281.920000001
19,12730535.200000001
20,791336.7600000001
21,4197883.470000001
22,3020378.4000000004
23,23049313.17
24,27427369.62
25,10833673.260000002
26,2952794.4000000004
27,2021825.0400000003
28,2405448.81
29,10018017.510000002
30,4078017.9000000004
31,21025653.3
32,1333303.1400000001
33,17176942.5
34,13138860.21
35,11534042.4
36,9109562.430000002
37,8603722.4
38,17124277.470000003
39,11411854.500000002
40,15374202.4
41,7688519.340000001
42,9674034.06
43,7883203.350000001
44,8908009.5
45,17826644.400000002
46,8816266.020000001
47,13922753.31
48,2130253.1700000004
49,10245662.97
50,18577583.82
51,13126924.38
52,42683880.0
53,16605688.8
54,20324278.71
55,2902758.7800000003
56,5123068.800000001
57,4335628.8
58,12944695.5
59,11273840.430000002
60,22197168.39
61,11810937.24
62,5282963.970000001
63,1484847.0000000002
64,4570792.41
65,31749969.0
66,14546383.500000002
67,18015856.110000003
68,11123940.0
69,17819368.35
70,16619961.180000002
71,6368643.87
72,4089301.0500000003
73,3194406.8400000003
74,1053378.9000000001
75,3595585.2600000002
76,8342492.490000001
77,14694256.590000002
78,17659538.34
79,2868397.6
80,22471039.5
81,10298406.840000002
82,13217965.600000001
83,8058639.960000001
84,8897218.32
85,12063465.57
86,1528926.2100000002
87,502217.28
88,12672990.99
89,4614356.58
90,6547786.4
91,7943645.600000001
92,25785125.73
93,11580193.5
94,8146808.370000001
95,2789903.97
96,17442745.35
97,18904837.5
98,11455892.64
99,17759990.01
100,3460447.5
101,39913527.0
102,1785745.8
103,22141106.73
104,21359305.98
105,10571582.4
106,4083319.2600000002
107,11601844.32
108,12696749.430000002
109,24756681.0
110,17517295.17
111,2561899.9800000004
112,19923878.400000002
113,5769229.44
114,2471482.7100000004
115,2504300.97
116,10540386.4
117,3891693.6
118,1767044.5200000003
119,2594716.02
