TransactionID,FraudIndicator,RiskScore
1,0,0.591642926001775
2,0,0.46010297504426056
3,0,0.5012381096229583
4,0,0.37972492650376966
5,0,0.39220629650857375
6,0,0.29813115181909344
7,1,0.7714625168443362
8,0,0.3911297124577347
9,0,0.5735008517705449
10,0,0.5104241152001777
11,1,0.7879510937814472
12,0,0.42398906149278986
13,1,0.7870220386189796
14,0,0.4472807523572576
15,0,0.46026577213644393
16,0,0.3695230626652343
17,0,0.42977875817255407
18,0,0.4242193344816182
19,0,0.3566888066388493
20,0,0.4754924160334319
21,1,0.8377202117851961
22,1,0.8410905545539745
23,0,0.35828480226197945
24,0,0.4127584407924095
25,0,0.4265520614178323
26,0,0.4242112127322843
27,1,0.8536557601873047
28,1,0.8791154382369267
29,0,0.31991310793473454
30,0,0.4816896865069478
31,0,0.38367035445313213
32,0,0.38305438842030803
33,0,0.4411728311957756
34,1,0.8033826102097039
35,0,0.44322495280789265
36,1,0.8513226713952322
37,0,0.44926960978816716
38,0,0.5504543033649035
39,0,0.29048155955612776
40,0,0.35681939720418804
41,0,0.47313379079663437
42,0,0.36917154771414146
43,0,0.5534231196656664
44,0,0.5447988675249018
45,0,0.33671970202826473
46,0,0.4598317716575966
47,0,0.4851250731964158
48,0,0.7361399421677521
49,0,0.3757826345165104
50,0,0.32281952375263284
51,0,0.49303895253428043
52,0,0.5010847602029764
53,0,0.4826722798123901
54,0,0.42821694395021553
55,1,0.8547614468761414
56,0,0.5100066330811927
57,0,0.5159578274732908
58,0,0.45079978442854324
59,0,0.3328899653599899
60,0,0.419417255058078
61,0,0.39295211196883434
62,0,0.47989418387158256
63,0,0.38210359052883325
64,0,0.4755074992575651
65,0,0.5170024407025358
66,0,0.4810462113269819
67,1,0.8706786477567818
68,1,0.7539215375662199
69,0,0.37929534740084153
70,0,0.4036887292431935
71,0,0.711872528739071
72,0,0.3914614117625465
73,0,0.3743862282029839
74,1,0.85277869446973
75,0,0.4233605354442289
76,0,0.502232552442824
77,0,0.4608117204512345
78,1,0.9175439360693869
79,0,0.38333807774114664
80,0,0.49539247832260225
81,0,0.4930089381224153
82,0,0.587054343934848
83,1,0.8203576395752157
84,0,0.085596600628013
85,0,0.34421503073387083
86,0,0.3725081370584385
87,0,0.5405735914749312
88,0,0.5160757538220095
89,0,0.7247415813655145
90,1,0.755579506734884
91,0,0.5481107522299612
92,1,0.9039507380236426
93,0,0.5186611644077173
94,1,0.8345529722610172
95,0,0.437941821435934
96,0,0.5034217434335408
97,0,0.48320711307897124
98,0,0.3035972949649218
99,0,0.44383992417394585
100,0,0.4222292478618247
101,0,0.5267707979721205
102,1,0.8574639439328301
103,0,0.4300400451183551
104,1,0.8362014060220895
105,0,0.49860330629371424
106,0,0.3661695279891303
107,0,0.3830664399148187
108,0,0.5112396880420527
109,0,0.4514761407214347
110,0,0.3366542045704492
111,0,0.5183166456388582
112,0,0.4876855477916008
113,0,0.36618613615702433
114,0,0.36709616355235236
115,0,0.6308616266660692
116,0,0.3405546961520737
117,0,0.48388266835586835
118,0,0.4554371859791294
119,0,0.5288157304521235
120,1,0.8936486267872434
121,0,0.465718194643147
122,0,0.3514436438630066
123,0,0.3945224067041885
124,0,0.43996706395735086
125,1,0.9219387439346429
126,0,0.4875185301393306
127,0,0.3530780663233168
128,1,0.8179941920225683
129,1,0.8801844261765474
130,0,0.4467730337261473
131,0,0.41720790600894275
132,0,0.5788815790045303
133,0,0.5282330416177645
134,0,0.4066423686869018
135,0,0.3072003187522624
136,1,0.8431650078844496
137,0,0.552030951673577
138,0,0.37038441196320293
139,0,0.48864553526083954
140,0,0.46501849554433344
141,1,0.802930773125815
142,0,0.4802060655039609
143,0,0.5159867803949028
144,0,0.44335078237193876
145,0,0.3685470293112853
146,0,0.4556893324875463
147,0,0.42844403895840494
148,0,0.19176859640922445
149,1,0.8538344732182223
150,0,0.37464314762827244
151,0,0.4844097126105857
152,0,0.47090920546267456
153,0,0.5111348827223802
154,0,0.4777589967287553
155,0,0.40534205047276795
156,0,0.35760323642408687
157,1,0.9512782630460221
158,0,0.4455043357308149
159,0,0.4489734319973985
160,0,0.5018864753896397
161,1,0.8388948109516985
162,1,0.7785323652480359
163,0,0.38630133257222066
164,0,0.5172847776121169
165,0,0.377647562861539
166,1,0.8204982777226608
167,0,0.3770920865399739
168,0,0.7440357712152306
169,0,0.39896563053310385
170,0,0.36605710413503323
171,0,0.30288510409352504
172,0,0.25474912226822294
173,0,0.4236264134333467
174,1,0.7756710693470843
175,0,0.5371948730522704
176,0,0.32164988080052553
177,0,0.41417290839636517
178,1,0.7513802543767846
179,0,0.42169874726110346
180,0,0.39315983814756683
181,0,0.3949247445121416
182,0,0.4249585299517295
183,0,0.5144174480959296
184,0,0.4807166758926806
185,1,0.7791814092054421
186,0,0.04823736635615275
187,0,0.4313596125732074
188,1,0.8481040269323752
189,1,0.874221067014417
190,0,0.5593815043678673
191,0,0.3149591903205909
192,0,0.4666013781519669
193,0,0.3727696378600054
194,0,0.39303796776921746
195,0,0.4292591456837583
196,0,0.5253155597991455
197,1,0.9588960067313204
198,0,0.5236110941821818
199,0,0.3492759485003821
200,0,0.34889877301350397
201,0,0.5461866409149482
202,1,0.9394670411386418
203,0,0.3367092784620881
204,0,0.3743697631660588
205,0,0.5365032967453961
206,1,0.7606175502713082
207,0,0.721440192828994
208,0,0.4470092926828817
209,0,0.5213053980103087
210,0,0.47451822809779887
211,0,0.3742933912402903
212,1,0.9113675405330618
213,0,0.4898811287658987
214,0,0.38763250743841643
215,0,0.4311968517373693
216,0,0.509298993941228
217,0,0.6055315343387143
218,0,0.45006367282780996
219,0,0.4472218419112344
220,0,0.4408896336350901
221,1,0.817042341718647
222,0,0.6296422005118513
223,1,0.7802285567592171
224,0,0.47769927178213895
225,0,0.4366298800416487
226,0,0.45274614677163666
227,0,0.5434773801790522
228,0,0.27120754789045814
229,0,0.39328857529443806
230,1,0.8480214637890059
231,0,0.45870626076754584
232,0,0.5254964867917391
233,1,0.8647242645352332
234,1,0.7674193884920476
235,0,0.3645345317189211
236,1,0.8257589929084708
237,0,0.24489532704416173
238,0,0.452210548296045
239,0,0.3878341357120757
240,0,0.4636075958005276
241,0,0.3869296337737076
242,0,0.48442544411685606
243,1,0.8094549916734552
244,1,0.855303378980701
245,0,0.42765465752800086
246,0,0.5399602784484235
247,0,0.3712221939349067
248,0,0.4207340520456382
249,0,0.5195366492776371
250,0,0.3945159988896406
251,0,0.47268252694194657
252,0,0.5177815809463732
253,0,0.6285113833627464
254,0,0.49745688767464474
255,0,0.3646529038608449
256,1,0.8937479955511338
