TransactionID,TotalAmount
1,38438466.39
2,5607602.340000001
3,5794580.800000001
4,5097177.720000001
5,1276682.04
6,6659008.800000001
7,19542898.5
8,3787150.4000000004
9,5606758.5
10,20778729.360000003
11,20080711.41
12,23729268.0
13,14269428.510000002
14,15170668.590000002
15,11867336.340000002
16,18465400.560000002
17,11323181.040000001
18,14403819.200000001
19,7395528.0
20,13162123.590000002
21,9232010.4
22,2961902.4000000004
23,23043437.94
24,15618004.14
25,14936548.500000002
26,3271999.1700000004
27,2083672.8
28,5033701.260000001
29,25654943.820000004
30,9074349.6
31,5278609.44
32,44494269.0
33,19249877.520000003
34,17436946.71
35,7343798.850000001
36,21450632.340000004
37,20749227.200000003
38,255455.2
39,11899406.46
40,9181066.41
41,19887393.810000002
42,33459354.930000003
43,5084683.2
44,25600445.040000003
45,31299326.01
46,22285345.680000003
47,5195628.800000001
48,23733380.0
49,4385141.58
50,5588647.98
51,19453292.8
52,11342412.0
53,1250401.6800000002
54,17287113.360000003
55,5291312.0
56,213652.80000000002
57,2132107.98
58,25971625.5
59,18649638.360000003
60,31889005.5
61,12290206.38
62,9778950.15
63,3504689.5800000005
64,7017931.710000001
65,18294569.6
66,9226048.05
67,14538747.200000001
68,12748784.0
69,27555273.810000002
70,11470560.0
71,22189148.64
72,20373495.200000003
73,9174853.74
74,12680830.920000002
75,8061655.830000001
76,29002272.03
77,14071072.620000001
78,18252883.2
79,17339359.950000003
80,115613.16
81,1814655.7500000002
82,1550226.0000000002
83,3379776.8400000003
84,11399640.06
85,2000721.7200000002
86,17527174.5
87,11601679.200000001
88,15829465.8
89,16297216.47
90,11081156.64
91,1186991.82
92,28017968.430000003
93,7857523.2
94,15800127.0
95,5654394.0
96,2806376.0
97,15693834.4
98,14532181.5
99,8725261.5
100,12908787.180000002
101,17482296.87
102,18252802.26
103,8267035.5
104,15114676.0
105,9056446.5
106,20314583.970000003
107,2849697.0
108,5138607.36
109,20655790.200000003
110,3457380.0
111,8069917.5600000005
112,22011164.580000002
113,29327952.0
114,7327154.4
115,19001640.0
116,25014882.3
117,4068294.0
118,1796719.5
119,24127662.0
120,16285721.31
121,6259564.0
122,26228854.89
123,33001143.6
124,3430625.9400000004
125,2266285.89
126,7627533.600000001
127,15455121.63
128,1181040.0
129,15236180.790000001
130,3797277.8100000005
131,3086536.0
132,8089669.600000001
133,48514227.0
134,34071247.980000004
135,4602365.600000001
136,15460071.0
137,16599388.440000001
138,19847127.450000003
139,2193314.49
